MCC,MNC,Brand,Operator,Status
302,100,dotmobile,Data on Tap Inc.,Unknown
302,130,Xplore,Xplore Inc.,Operational
302,131,Xplore,Xplore Inc.,Operational
302,140,Fibernetics,Fibernetics Corp.,Not Operational
302,150,Cogeco,Cogeco Connexion Inc.,Unknown
302,151,Cogeco,Cogeco Connexion Inc.,Unknown
302,152,Cogeco,Cogeco Connexion Inc.,Unknown
302,160,Sugar Mobile,Sugar Mobile Inc.,Operational
302,220,"Telus Mobility, Koodo Mobile, Public Mobile",Telus Mobility,Operational
302,221,Telus,Telus Mobility,Unknown
302,222,Telus,Telus Mobility,Unknown
302,230,ISP Telecom,ISP Telecom,Unknown
302,250,Bell,Bell Mobility,Unknown
302,270,EastLink,Bragg Communications,Operational
302,290,Airtel Wireless,Airtel Wireless,Not operational
302,300,ECOTEL,Ecotel inc.,Operational
302,310,ECOTEL,Ecotel inc.,Operational
302,320,Rogers Wireless,Rogers Communications,Operational
302,330,Blue Canada,Blue Canada Wireless Inc.,Not operational
302,340,Execulink,Execulink,Operational
302,350,Naskapi,Naskapi Imuun Inc.,Unknown
302,351,MPVWifi,MPVWifi Inc.,Operational
302,352,Lyttonnet,Lytton Area Wireless Society,Operational
302,353,SpeedFI,SpeedFI Inc.,Unknown
302,360,MiKe,Telus Mobility,Not operational
302,361,Telus,Telus Mobility,Not operational
302,370,Fido,Fido Solutions (Rogers Wireless),Operational
302,380,Keewaytinook Mobile,Keewaytinook Okimakanak Mobile,Operational
302,390,DMTS,Dryden Mobility,Not operational
302,420,ABC,A.B.C. Allen Business Communications Ltd.,Operational
302,480,Qiniq,SSi Connexions,Operational
302,490,Freedom Mobile,Quebecor,Operational
302,491,Freedom Mobile,Quebecor,Unknown
302,500,Videotron,Videotron,Operational
302,510,Videotron,Videotron,Operational
302,520,Rogers (Vidéotron MOCN),Videotron,Operational
302,530,Keewaytinook Mobile,Keewaytinook Okimakanak Mobile,Operational
302,540,Rovvr Com,Rovvr Communications Inc.,Unknown
302,550,Star Solu,Star Solutions International Inc.,Unknown
302,560,Lynx Mobility,Lynx Mobility,Not operational
302,570,Ligado Ne,Ligado Networks Corp.,Unknown
302,590,Quadro Mobility,Quadro Communications Co-op,Operational
302,600,Iristel,Iristel,Unknown
302,610,Bell Mobility,Bell Mobility,Operational
302,620,ICE Wireless,ICE Wireless,Operational
302,630,Aliant Mobility,Bell Aliant,Unknown
302,640,Bell,Bell Mobility,Not operational
302,650,TBaytel,Thunder Bay Telephone,Operational
302,652,BC Tel Mo,BC Tel Mobility (Telus),Not operational
302,653,Telus,Telus Mobility,Not operational
302,655,MTS,Bell MTS,Not operational
302,656,TBay,Thunder Bay Telephone Mobility,Not operational
302,657,Telus,Telus Mobility,Not operational
302,660,MTS,Bell MTS,Operational
302,670,CityTel Mobility,CityWest,Unknown
302,680,SaskTel,SaskTel Mobility,Operational
302,681,SaskTel,SaskTel Mobility,Not operational
302,690,Bell,Bell Mobility,Operational
302,701,MB Tel Mo,MB Tel Mobility,Not operational
302,702,MT&T Mobi,MT&T Mobility (Aliant),Not operational
302,703,New Tel M,New Tel Mobility (Aliant),Not operational
302,710,Globalstar,Globstar,Operational
302,720,Rogers Wireless,Rogers Communications,Operational
302,721,Rogers Wireless,Rogers Communications,Unknown
302,730,TerreStar Solutions,TerreStar Networks,Unknown
302,740,Rogers Wireless,Rogers Communications,Unknown
302,741,Rogers Wireless,Rogers Communications,Unknown
302,750,SaskTel,SaskTel Mobility,Unknown
302,760,Public Mobile,Telus Mobility,Operational
302,770,TNW Wireless,TNW Wireless Inc.,Operational
302,780,SaskTel,SaskTel Mobility,Operational
302,781,SaskTel,SaskTel Mobility,Not operational
302,790,NetSet Co,NetSet Communications,Operational
302,820,Rogers Wireless,Rogers Communications,Unknown
302,848,Vocom Int,"Vocom International Telecommunications, Inc",Unknown
302,860,Telus,Telus Mobility,Unknown
302,880,Bell / Telus / SaskTel,"Shared Telus, Bell, and SaskTel",Operational
302,910,Halton Re,Halton Regional Police Service,Operational
302,911,Halton Re,Halton Regional Police Service,Operational
302,920,Rogers Wireless,Rogers Communications,Not operational
302,940,Wightman Mobility,Wightman Telecom,Operational
302,990,Ericsson ,Ericsson Canada,Unknown
302,991,Halton Re,Halton Regional Police Service,Unknown
302,996,Powertech,Powertech Labs,Unknown
302,997,Powertech,Powertech Labs,Not operational
302,998,Institut ,Institut de Recherche d’Hydro-Québec,Unknown
313,720,,"1st Point Communications, LLC",Unknown
313,830,,360 Communications,Unknown
313,150,FirstNet,700 MHz Public Safety Broadband,Unknown
313,160,FirstNet,700 MHz Public Safety Broadband,Unknown
313,170,FirstNet,700 MHz Public Safety Broadband,Unknown
313,180,FirstNet,700 MHz Public Safety Broadband,Unknown
313,190,FirstNet,700 MHz Public Safety Broadband,Unknown
312,500,,AB Spectrum LLC,Not operational
312,70,,Adams Networks Inc,Not operational
310,880,DTC Wireless,"Advantage Cellular Systems, Inc.",Operational
310,850,Aeris,"Aeris Communications, Inc.",Operational
314,500,,Aetheros Inc.,Unknown
314,530,,Agile Networks,Operational
314,320,,"Agri-Valley Communications, Inc",Unknown
310,34,Airpeak,Airpeak,Operational
310,50,GCI,Alaska Communications,Operational
310,190,GCI,Alaska Communications,Operational
312,880,,Albemarle County Public Schools,Unknown
310,54,,Alltel US,Operational
313,390,,"Altice USA Wireless, Inc.",Unknown
311,770,,"Altiostar Networks, Inc.",Unknown
313,700,,Ameren Services Company,Unknown
311,780,ASTCA,American Samoa Telecommunications Authority,Operational
311,30,Indigo Wireless,Americell PA 3 Partnership,Not operational
313,860,Nextlink,AMG Technology Investment Group,Operational
312,520,,ANIN,Not operational
313,410,,Anterix,Unknown
310,710,ASTAC,Arctic Slope Telephone Association Cooperative,Operational
312,760,ASTAC,Arctic Slope Telephone Association Cooperative,Not operational
312,750,,Artemis Networks LLC,Unknown
313,440,,"Arvig Enterprises, Inc.",Unknown
312,210,,"Aspenta International, Inc.",Operational
313,100,FirstNet,AT&T FirstNet,Operational
313,110,FirstNet,AT&T FirstNet,Unknown
313,120,FirstNet,AT&T FirstNet,Unknown
313,130,FirstNet,AT&T FirstNet,Unknown
313,140,FirstNet,AT&T FirstNet,Unknown
310,16,AT&T,AT&T Mobility,Not operational
310,30,AT&T,AT&T Mobility,Not operational
310,70,AT&T,AT&T Mobility,Operational
310,80,AT&T,AT&T Mobility,Operational
310,90,AT&T,AT&T Mobility,Operational
310,150,AT&T,AT&T Mobility,Operational
310,170,AT&T,AT&T Mobility,Operational
310,280,AT&T,AT&T Mobility,Not operational
310,380,AT&T,AT&T Mobility,Not operational
310,410,AT&T,AT&T Mobility,Operational
310,560,AT&T,AT&T Mobility,Not operational
310,670,AT&T,AT&T Mobility,Unknown
310,680,AT&T,AT&T Mobility,Operational
310,950,AT&T,AT&T Mobility,Operational
311,70,AT&T,AT&T Mobility,Operational
311,90,AT&T,AT&T Mobility,Operational
311,180,AT&T,AT&T Mobility,Not operational
311,190,AT&T,AT&T Mobility,Unknown
312,90,AT&T,AT&T Mobility,Unknown
312,680,AT&T,AT&T Mobility,Unknown
313,210,AT&T,AT&T Mobility,Unknown
312,670,FirstNet,AT&T Mobility,Operational
313,30,,AT&T Mobility,Unknown
314,260,,AT&T Mobility,Unknown
314,270,,AT&T Mobility,Unknown
314,390,,AT&T Mobility,Unknown
314,30,,Baicells Technologies North America Inc.,Unknown
311,970,Big River Broadband,"Big River Broadband, LLC",Operational
311,130,,Black & Veatch,Not operational
313,270,,Blackstar Management,Not operational
314,10,,Boingo Wireless Inc.,Unknown
313,560,,Boldyn Networks US,Operational
312,650,,Brightlink,Unknown
312,810,BBCP,Bristol Bay Telephone Cooperative,Operational
312,540,,Broadband In Hand LLC,Not operational
310,570,,"Broadpoint, LLC",Operational
312,570,Blue Wireless,"Buffalo-Lake Erie Wireless Systems Co., LLC",Not operational
311,330,Bug Tussel Wireless,Bug Tussel Wireless LLC,Operational
310,900,Mid-Rivers Wireless,Cable & Communications Corporation,Not operational
312,450,,Cable & Communications Corporation,Unknown
313,310,,"CAL.NET, Inc.",Not operational
313,20,CTC Wireless,Cambridge Telephone Company Inc.,Operational
310,130,Carolina West Wireless,Carolina West Wireless,Operational
312,470,Carolina West Wireless,Carolina West Wireless,Operational
313,840,,CellBlox Acquisitions,Unknown
313,750,ZipLink,"CellTex Networks, LLC",Unknown
310,360,Pioneer Cellular,Cellular Network Partnership,Not operational
312,270,Pioneer Cellular,Cellular Network Partnership,Not operational
312,280,Pioneer Cellular,Cellular Network Partnership,Not operational
313,570,Pioneer Cellular,Cellular Network Partnership,Not operational
314,400,C Spire,Cellular South Inc,Unknown
311,230,C Spire,Cellular South Inc.,Operational
311,630,C Spire,Cellular South Inc.,Unknown
313,330,,CenturyTel Broadband Services LLC,Unknown
311,10,Chariton Valley,Chariton Valley Communications,Not operational
312,10,Chariton Valley,"Chariton Valley Communications Corporation, Inc",Not operational
312,220,Chariton Valley,"Chariton Valley Communications Corporation, Inc.",Not operational
313,650,,"Chevron USA, Inc.",Unknown
313,950,,Cheyenne and Arapaho Development Group,Unknown
314,380,CCR,"Circle Computer Resources, Inc.",Unknown
312,890,,Circle Gx,Unknown
312,800,,Cirrus Core Networks,Unknown
315,10,CBRS,Citizens Broadband Radio Service,Unknown
312,310,,"Clear Stream Communications, LLC",Operational
312,100,,"ClearSky Technologies, Inc.",Unknown
312,140,Revol Wireless,"Cleveland Unlimited, Inc.",Not operational
311,540,,"Coeur Rochester, Inc",Unknown
311,790,,"Coleman County Telephone Cooperative, Inc.",Unknown
311,40,Choice Wireless,Commnet Wireless,Operational
311,320,Choice Wireless,Commnet Wireless,Operational
312,370,Choice Wireless,Commnet Wireless,Operational
310,630,Choice Wireless,Commnet Wireless LLC,Unknown
311,550,Choice Wireless,Commnet Wireless LLC,Operational
310,930,,Copper Valley Wireless,Not operational
312,380,,Copper Valley Wireless,Operational
311,240,,Cordova Wireless,Operational
313,60,,Country Wireless,Operational
313,61,,Country Wireless,Unknown
312,60,,CoverageCo,Not operational
311,930,,Cox Communications,Unknown
314,420,,Cox Communications,Unknown
311,140,Bravado Wireless,Cross Telephone Company,Operational
310,700,Bigfoot Cellular,Cross Valiant Cellular Partnership,Unknown
312,30,Bravado Wireless,Cross Wireless,Operational
313,10,Bravado Wireless,Cross Wireless LLC,Unknown
312,40,,Custer Telephone Co-op (CTCI),Operational
312,950,,Custer Telephone Co-op (CTCI),Operational
313,220,,Custer Telephone Co-op (CTCI),Unknown
310,780,Dispatch Direct,D. D. Inc.,Not operational
313,340,Dish,Dish Wireless,Operational
313,350,Dish,Dish Wireless,Not operational
313,360,Dish,Dish Wireless,Not operational
311,200,,Dish Wireless,Unknown
310,750,Appalachian Wireless,"East Kentucky Network, LLC",Not operational
312,120,Appalachian Wireless,"East Kentucky Network, LLC",Operational
312,130,Appalachian Wireless,"East Kentucky Network, LLC",Operational
312,910,Appalachian Wireless,"East Kentucky Network, LLC",Unknown
311,760,,Edigen Inc.,Not operational
311,460,,Electric Imp Inc.,Not operational
313,870,,ElektraFi LLC,Operational
312,410,,"Eltopia Communications, LLC",Unknown
314,340,e/marconi,E-Marconi LLC,Unknown
311,950,ETC,Enhanced Telecommunications Corp.,Operational
313,990,,Ericsson US,Unknown
310,460,,Eseye,Unknown
310,35,ETEX Wireless,"ETEX Communications, LP",Unknown
314,350,,Evergy,Unknown
310,990,Evolve Broadband,Evolve Cellular Inc.,Operational
313,260,,Expeto Wireless Inc.,Operational
313,710,,Extent Systems,Unknown
310,311,,Farmers Wireless,Not operational
312,900,ClearTalk,"Flat West Wireless, LLC",Operational
311,750,ClearTalk,Flat Wireless LLC,Not operational
312,860,ClearTalk,"Flat Wireless, LLC",Not operational
313,520,,"Florida Broadband, Inc.",Not operational
312,390,FTC Wireless,FTC Communications LLC,Operational
312,50,,Fuego Wireless,Not operational
313,240,Peak Internet,"Fundamental Holdings, Corp.",Unknown
310,430,GCI,GCI Communications Corp.,Operational
311,370,GCI Wireless,General Communication Inc.,Operational
313,640,,Geoverse LLC,Unknown
311,900,,GigSky,Operational
312,870,,"GigSky Mobile, LLC",Operational
312,790,,Gila Electronics,Unknown
310,970,,Globalstar,Operational
311,890,,Globecomm Network Services Corporation,Unknown
312,620,,GlobeTouch Inc.,Operational
312,580,,Google LLC,Unknown
312,710,,Great North Woods Wireless LLC,Operational
312,550,,"Great Plains Communications, Inc.",Not operational
311,680,,GreenFly LLC,Unknown
310,33,,Guam Telephone Authority,Unknown
313,290,,Gulf Coast Broadband LLC,Unknown
312,930,,"Hewlett-Packard Communication Services, LLC",Unknown
314,430,,"Highway9 Networks, Inc",Unknown
310,540,Phoenix,Hilliary Communications,Not operational
313,760,,"Hologram, Inc.",Operational
313,420,,Hudson Valley Wireless,Unknown
313,660,,Hudson Valley Wireless,Unknown
313,670,,Hudson Valley Wireless,Unknown
313,680,,Hudson Valley Wireless,Unknown
311,340,,Illinois Valley Cellular,Operational
313,250,,Imperial County Office of Education,Unknown
312,20,,"Infrastructure Networks, LLC",Operational
310,580,,Inland Cellular Telephone Company,Operational
313,820,,Inland Cellular Telephone Company,Operational
312,970,,IOSAZ Intellectual Property LLC,Unknown
311,410,Chat Mobility,Iowa RSA No. 2 LP,Not operational
312,170,Chat Mobility,Iowa RSA No. 2 LP,Not operational
310,300,Big Sky Mobile,"iSmart Mobile, LLC",Not operational
310,400,IT&E Wireless,"IT&E Overseas, Inc",Not operational
311,250,IT&E Wireless,"IT&E Overseas, Inc",Not operational
310,920,,"James Valley Wireless, LLC",Operational
310,650,Jasper,Jasper Technologies,Operational
313,920,,JCI,Unknown
312,440,,"Kajeet, Inc.",Unknown
310,870,PACE,Kaplan Telephone Company,Not operational
310,60,,Karrier One,Unknown
312,740,Locus Telecommunications,"KDDI America, Inc.",Unknown
312,460,,Ketchikan Public Utilities (KPU),Operational
313,280,,"King Street Wireless, LP",Unknown
312,830,,Kings County Office of Education,Operational
311,310,NMobile,Leaco Rural Telephone Company Inc.,Not operational
313,790,Liberty,Liberty Cablevision of Puerto Rico LLC,Operational
313,630,,LICT Corporation,Unknown
311,510,,Ligado Networks,Not operational
311,160,,Lightsquared L.P.,Not operational
311,520,,Lightsquared L.P.,Not operational
311,980,,LigTel Communications,Not operational
312,180,,Limitless Mobile LLC,Operational
